Имя пользователя,Дата комментария,Текст комментария,Дата ответа,Текст ответа,Оценка,Статус
Aigerim Atageldieva,2024-11-08,"Очень боялась фгдс
но мне хорошо безболезненно сделали
благодарю эндоскописта Гани Бекболатулы",2024-11-08,"Уважаемая Айгерим Атагельдиева,

Благодарим вас за добрые слова и высокую оценку работы нашего эндос…",5,1
Г Г,2024-11-08,"Были сегодня на приеме у Дуйсековой А.А. Прием был в точно назначенное время. Выслушала все наши жалобы, провела осмотр и направила на УЗИ. Позже с результатами УЗИ снова попали на прием, где врач расписал рекомендации и назначения. Уточнила все ли нам понятно, ответив на дополнительные вопросы. Этого врача выбрали по отзывам, могу стопроцентно поручится что все положительные отзывы соответствуют действительности. Могу ее рекомендовать своим друзьям и знакомым!",2024-11-08,"Уважаемый пациент,

Благодарим вас за тёплый отзыв и подробное описание приёма у Дуйсековой А.А.! Мы…",5,1
Городская легенда,2024-11-07,"Благодарю врача дерматолога Муратқызы Балдана, профессионально и точно назначено лечение👍",2024-11-07,"Уважаемая Анна М,

Благодарим вас за добрые слова и высокую оценку работы дерматолога Мураткызы Балд…",5,1
Yelena Belfer,2024-11-07,"Медицинский центр не профессионально оказывающий первую медицинскую помощь. У Вас вообще совесть есть и честь врачей,? Вы же клятву давали! У племянницы сахар показал 31, вместо оказания первой мед помощи, на 50 тыс тенге загоняли по обследованию и сдачей анализов, мы так поняли для получения выручки. И только потом вызвали скорую. Вывод сначала нажились, потом тупо вызвали скорую!
Знаю точно одно сделаю все чтобы мои близкие и знакомые к Вам не ходили! Беспредел! Написали в администрацию, теперь говорят предоставьте подтверждающие документы, Вы отчёт о выручке поднимите и увидите! Позор!",2024-11-07,"Уважаемая Елана,

Благодарим вас за то, что нашли время оставить отзыв. Нам искренне жаль, что ваш о…",1,0
Anna Mars,2024-11-07,"Что за беспредел. Сдавала анализы, сказали через 2-3 дня будут готовы, прошло уже 6 дней, ничего не приходит. Звоню 3 дня подряд, говорят как будут готовы придут на ватсап или смс. Как теперь быть ?",2024-11-07,"Уважаемая Анна,

Благодарим вас за то, что нашли время оставить отзыв. Нам искренне жаль, что ваш оп…",1,0
Nazerke Bereketova,2024-11-07,Рентгендегі балалар әдемі екен😂🤭,2024-11-07,"Құрметті Nazerke Bereketova,

Жылы лебіздеріңіз бен жұмысымызды жоғары бағалағандарыңызға рахмет! Б…",5,1
Yana Yana,2024-11-07,"Пришла сегодня на полный чек дала полный список развёрнутый, вашему менеджеру, в итоге не добавил ферритин не добавил оплату за терапевта и наверное ещё кучу всего не добавил нужно перепроверить . теперь снова вену колоть нужно а кто за это отвечать будет?
Это ладно. Только что пришел анализ на ВИЧ, везде пишут либо отрицательно либо положительно, пришло, 0,512 первым делом я офигела у меня началась паника и только потом я поняла что до 20 это отрицательно. Вы понимаете что вы создаёте стресс людям которые привыкли к анализам либо положительно либо отрицательно я щас просто поймала стресс отхожу уже 40 минут после такого стресса. Измените иначе многие люди просто могут инфаркт поймать на месте. Кто будет отвечать за то что мне не вписали анализ иметь теперь заново делать прокол а у меня Вены слабые?",2024-11-07,"Уважаемая Яна,

Благодарим вас за то, что нашли время оставить отзыв. Нам искренне жаль, что ваш опы…",1,0
Didi М,2024-11-06,"Была у лор врача, не видела никакого результата а потратила столько денег, я конкретно знала про свой диагноз а вот врач не подтвердила это. И в итоге ни одна лекарства не дала результат 🤷🏻‍♀️ пустое трата времени и денег !",2024-11-06,"Уважаемый пациент,

Благодарим вас за то, что нашли время оставить отзыв. Нам искренне жаль, что ваш…",2,0
Oksany Igenova,2024-11-06,"Понравилось, персонал вежливый",2024-11-06,"Уважаемая Оксана Игенова,

Благодарим вас за отзыв! Нам приятно слышать, что вам понравилось обслужи…",5,1
Дана Николаева,2024-11-06,Хочу поблагодарить гинеколога Жакашбаеву Алию Мукаметколивеану за профессионализм и хорошее отношение к пациентам. Врач приняла во время. Очень внимательно выслушала и тщательно осмотрела. Очень толковая. Старается подойти к вопросам здоровья комплексно,2024-11-06,"Уважаемая Дана Николаева,

Благодарим вас за тёплый отзыв и высокую оценку работы гинеколога Жакашба…",5,1
zanna08111981 Kovalevskaya,2024-11-06,"Ещё раз убеждаюсь в том, что Эмирмед это клиника не только с профессиональным персоналом, но и просто грамотных, отзывчивых сотрудников. Среди анализов не мы могли найти результаты нужных нам для госпитализации, через Вотсап обратились с вопросом где найти и нам доступно объяснили что где и как написано. После объяснений лишь неграмотный не найдет. Благодарю от всей души",2024-11-06,"Уважаемая Жанна ,

Большое спасибо за ваш тёплый отзыв! Мы рады, что вы остались довольны не только…",5,1
Карина Ли,2024-11-04,"В 104 кабинете медсестра спрашивала как взять соскоб у кого та по ватсапу при пациенте обучение происходила по ватсапу, еще было оплачено за ускорение результата . В следующий раз буду снимать на камеру чтобы все видели какие «профессионалы» работают в эмирмеде , оплата за анализ была в 15:44 4.11.2024",2024-11-04,"Добрый день!
Мы приносим извинения за неудобства. Ваше мнение важно для нас, и мы хотели бы расследо…",1,0
Алексей Макушев,2024-11-03,"Добрый вечер!
Хочу обратиться с жалобой.
Обращаюсь к Вам ни в первый раз за медицинской помощью, но такое халатное отношение наблюдаю 2 раз подряд за эти дни.
Максимально не компетентное отношение к пациентам. Перчатки не меняют, мало того помыли тряпки в них, и в этих же перчатках идут ставить или убирать систему. Упала игла без защитного корпуса уже, на грязный пол с моей же системы, я купил новую, а та игла всю процедуру пролежала на грязном полу, затем мед работник её же поднял и как ни в чём не бывало проткнул мне бутыль от капающей уже системы, это нормально по Вашему? Как Вы думаете какие последствия могут быть? Почему ваши сотрудники не сосредоточены на пациентах, а заняты своими делами, разговорами по телефону, общение с коллегами, тем самым допуская халатность в отношении пациентов?! Как можно оказывать СТЕРИЛЬНЫЕ услуги, грязными руками, перчатками грязными, грязными иглами с пола и т.п.
Вы задумываетесь о последствиях подобных действий?!",2024-11-03,"Уважаемый Алексей,

Благодарим вас за то, что нашли время оставить отзыв. Нам искренне жаль, что ваш…",1,0
Rau Almeshova,2024-11-03,"На филиале в 8 мкр. работают самые лучший администратор, лучшие консультанты!
Сегодня воскресенье, но все работает, электрофорез по очень доступной цене.
Спасибо работникам в столовой, очень вкусная еда и самый лучший борщ готовят здесь:)

Столовая, аптека, рентген все рядом, супер удобно!

Спасибо вам за то что предлагаете такой уровень сервиса, и отлично справляетесь с вашей работой!",2024-11-03,"Уважаемый Rau Almeshova,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень рад…",5,1
Ирина Евдокимова,2024-11-03,"Жолдасова Э узи специалист хочу поблагодарить за отзывчивость, внимательность, профессионализм хотелось бы по больше таких специалистов",2024-11-03,"Уважаемая Ирина Евдокимова,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень…",5,1
Жанерке Ким,2024-11-03,"Хочу поблагодарить специалиста УЗИ Жолдасову Элмиру Сапарбаевну за высокий профессионализм и хорошее отношение к пациентам.🙌🏻 Была в смятении и подавленном настроении из за предварительных диагнозов, но Элмира Сапарбаевна смогла подбодрить и детально ответила на все мои вопросы. Побольше бы таких врачей❤️❤️❤️",2024-11-03,"Уважаемая Жанерке Ким,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень рады…",5,1
Снежка Андреевна,2024-11-02,Заманбекова Маржан амантаевна,,,5,1
Anel Yesniyazova,2024-11-02,Заманбекова Маржан Амантаевна өз ісінің маманы👍🏻,2024-11-02,"Құрметті Anel Yesniyazova,

Жылы лебіздеріңіз бен жұмысымызды жоғары бағалағандарыңызға рахмет! Бізд…",5,1
Apple User,2024-11-01,"Ужасные врачи , не приветливые , ничего не знают . Сидят чеки проверяют, оплатили или нет , вместо того чтобы проверить состояние пациента .
Не умеют ставить диагнозы !!!!! Они не лечат , а жрут деньги . Чтобы получить назначение , обязательно надо сдавать 1000 ненужных анализов , лишь заработать много денег .",,,1,0
Рина Мира,2024-10-31,"Мне очень нравится эта клиника, и что само удобно, что она круглосуточная! У врачей которых были все понравились.",2024-10-31,"Уважаемая Рина Мира,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень рады, ч…",5,1
Порошина Вероника,2024-10-31,"Огромное спасибо, мед.сестре Аида.
Самый крутой профессионал своего дела. Всегда улыбнётся и приветливая и доброжелательная. Самый классный специалист. Мастер своего дела.
Почему так говорю? Мне назначили физиолечение (ударно-волновая- терапия и электрофорез) Всегда, делала все четко и по времени, уделяя внимание каждому миллиметру, у кого болят пятки( пяточная шпора), знают кого это, когда они воспаляются и болят.
Поэтому , выражаю огромную благодарность Аиде и ее золотым рукам и ее профессионализму!!!",2024-10-31,"Уважаемая Порошина Вероника,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень…",5,1
Андрей Иванов,2024-10-31,"Не уважают время клиентов. Могут сказать дату и время следующего приёма наугад, а на самом в этот день врач вообще не работает или работает не в день, а в ночь.",2024-10-31,"Уважаемый Андрей Иванов,

Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей клинике н…",3,0
Жулдыз Аманова,2024-10-31,Жду своих анализов уже как неделю.Никакой ответственности! Не советую эту клинику👎🏻,2024-10-31,"Уважаемая Жулдыз Аманова,

Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей клинике…",1,0
Альбин Жанибековна,2024-10-31,"Везде пишет что работает 24/7 но врачи спят, просто так время потратили. Нам надо стучаться что бы они дверь открыли и приняли нас. Лучше не писать что вы 24/7 работаете если элементарно не можете принять на прием. Не надо удалять отзыв!!!
Уже второй раз. Я там была не один раз и знаю что пишу.",2024-10-31,"Уважаемая Альбин Жанибековна,

Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей клин…",1,0
Карлыгаш Калиева,2024-10-30,"25 октября 2024 г. были на приеме у отоларинголога Узбекова З.И. с острый болью в ушах. Мы приехали с города Павлодара в гости. Доктор оказал нам первую медицинскую помощь. Спасибо врачу за его профессионализм очень грамотный, умеет расположить к себе ребёнка. Хочется поблагодарить его за все.",2024-10-30,"Уважаемая Карлыгаш Калиева,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень…",5,1
Elya Max,2024-10-29,Самый дибильный мед центр. Просто бизнес и ничего больше! Стоматолог Мамаев Надыр - мы были у него на приеме вообще офигефший. Хотел с нас за 50к наркоз ребенку содрать. Хотя мы не просили еще разозлился на нас. Дрожал от злости и краснел. Просто они пользуются тем что и по праздникам работают. И форс-мажоры бывают же. И к сожалению идешь туда без выбора. А так даже 1 звездочки жалко!(((,,,1,0
Гүлфариза Otepova,2024-10-29,"Имплантолог дәрігерім Исабаева Эльмира Ешмухамбетовнаға алғысым шексіз🥳4 жыл бұрын имплант орнатар кезде осы Элмира дәрігерді таңдағаныма еш өкінбеймін. Өте тәжірибелі дәрігер, жұмысына тыңғылықты, ісі өнімді! 💥 Менің жұмысым адамдармен байланысты болғандықтан, менің тісімнің әдемі болғаны маңызды! Рақмет сізге Эльмира дәрігер! Жұмысыңызға табыс тілеймін!",2024-10-29,"Құрметті Гүлфариза Отепова,

Біздің дәрігерімізге білдірген жылы лебізіңіз бен жоғары бағаңыз үшін а…",5,1
Ару Ғалымжан,2024-10-29,"База істемейді 12 ден кейін, 1 сағатқа жақын отырдым. Дәрігерлері дөрекі. Кол центр дұрыс сұраққа жауап бермейді! Жауапкершілік 0",2024-10-29,"Құрметті Ару Ғалымжан,

Сіздің пікіріңіз үшін рахмет. Біз сіздің клиникадағы тәжірибеңізді қанағатта…",1,0
Anilenn Kalen,2024-10-28,"Саму сеть клиник не люблю, но УЗИстка Эльмира Сапарбаевна просто прелесть. Все показала расскзала, объяснила, вежливая приятная. Оборудование хорошее.",2024-10-28,"Уважаемая Anilenn Kalen,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень рад…",5,1
Куралай Сыздыкова,2024-10-28,"Объясните мне, почему в процедурном кабинете нет шприцов?
Мы же платим за прием в процедурном кабинете!
Почему пациента с температурой туда сюда гоняете. То за шприцом. То за оплатой. По этажам туда сюда. Никогда никому не писала негатив в отзывах. Но в вашем центре просто мой самый худший опыт!",2024-10-28,"Уважаемая Куралай Сыздыкова,

Благодарим вас за то, что нашли время оставить отзыв. Нам искренне жал…",1,0
Tolkyn Doshybekova,2024-10-27,"5 жулдызды , Актолкын медсестра ушин коямын, кызым кишкентай анализы венадан алганда жылайтын оте катты бакырып, кеше тапсырганда, Актолкын медсестра бакыртпай кинамай тез алып берди, Рахмет",2024-10-27,"Құрметті Tolkyn Doshybekova,

Жылы лебіздеріңіз бен жұмысымызды жоғары бағалағандарыңызға рахмет! Біздің емханаға келуіңіз сізге жағымды әсер қалдырғанына өте қуаныштымыз. Сіздің пікіріңіз біздің ұжымды шабыттандырады және жоғары деңгейде өнер көрсетуге көмектеседі.

Егер сізде сұрақтар туындаса немесе қосымша кеңес қажет болса, бізге хабарласудан тартынбаңыз. Біз сізді көруге әрқашан қуаныштымыз!

Құрметпен, емхана әкімшісі.",5,1
Анаргуль Кабдуллина,2024-10-26,"Пошли к дерматологу с сыном по причине угревой сыпи на носу. Очень много лишних обследований и анализов назначили. Одним словом лишь бы вытащить деньги... Естественно, при желании, каждому анализу врач может найти объяснение... В таком случае при назначении любого лекарства, врачи должны требовать УЗИ печени, и кучу других анализов",2024-10-26,"Уважаемая Анаргуль Кабдуллина,

Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей кли…",1,0
Аяла Омарова,2024-10-26,"Гинеколог Алия Жакашбаева прекрасная докторша😘өз ісінің маманы әрі жоғары деңгейде,анализдер барлығын тек дәл айтады,рахмет сізге көп көп😘😍",2024-10-26,"Уважаемая Аяла Омарова,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень рады…",5,1
Диана Оспанова,2024-10-25,"Печальная история почти со всеми частными клиниками. Отрабатывают первичный прием, причина заболевания, иммунитет и сопутствующие заболевания никому не интересны. Выбирали специалиста по отзывам на сайте. Были с ребенком, бронхиальная астма. По итогу лечения никаких результатов. Помог аллерголог в обычной поликлинике.",2024-10-25,"Уважаемая Диана Бейсенбаева,

Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей клинике не оправдал ожиданий. Мы очень ценим обратную связь и всегда стремимся к тому, чтобы нашим пациентам оказали помощь на высоком уровне.
Ваше замечание будет обязательно передано администрации клиники для детального анализа. Мы будем признательны, если вы оставите Ваш контактный номер и ФИО, чтобы мы могли лучше понять вашу проблему и исправить ситуацию.",2,0
Асель Бураханова,2024-10-25,Сегодня прошла ЭГДС врач Курманали Гани очень хороший молодец все прошло аккуратно даже не больно,2024-10-25,"Уважаемая Асель Бураханова,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень…",5,1
Asiya Ibrakhimova,2024-10-24,"УЖС ЕНДІ КЕЛМЕЙМІН❌ Уақыт созып ақша алу бәрі. Бір врачтан шықсаң, екіншісіне жібереді, одан қалды узи, анализ деп, айналып келгенде бір біріне жіберіп, еще рентген деп, басқа врачқа барсаң, уже жаңа тексерілуді қосып жібереді. Қысқасы, көп ақшаңды тастап шығу керексін болды🤑",2024-10-24,"Құрметті Asiya Ibrakhimova,

Пікіріңізге рахмет. Біздің клиникадағы тәжірибеңіз сіздің үмітіңізді а…",1,0
Гульдана Айдархан,2024-10-23,"Выражаю огромную благодарность всему коллективу клиники ""Эмирмед"". В особенности стоматологу Жанаре Бимырзаевне 🌹, за преданность своему делу, профессионализму, за дружелюбное отношение. Она очень быстро и безболезненно пролечила зубы моей дочери, мы теперь постоянно всей семьей будем ходить к ней , очень хороший специалист , нам понравилась. Она стоматолог знающий свое дело , мы ей 💯 доверяем свои зубы",2024-10-23,"Уважаемая Гульдана Айдархан,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень…",5,1
Aizira Sydyi,2024-10-22,"Врач Маржан Амантаевна профессионал своего дела, всё четко объяснила и рассказала. Спасибо вам большое, желаю процветания вашей карьере🥰",2024-10-22,"Уважаемая Aizira Sydyi,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень рады…",5,1
Ardak Sadyrbalina,2024-10-22,"Проходила медосмотр на водительскую справку, все четко быстро! Правда справка с миллионом ошибок напечатана, неужели не замечаете? Девушка на ресепшен приятная все объяснила, но там же в регистратуре справа крайняя сидит, вся из себя на всех со злом и неприязнью смотрит, с глазом красным и злым)) неприятные впечатления оставила только она, попросила файл рявкнула нет и отвернулась. В общем все шло хорошо, пока я не попросила файл))",2024-10-22,"Уважаемая Ardak Sadyrbalina,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень рады, что посещение нашей клиники оставило у вас положительные впечатления. Ваш отзыв вдохновляет нашу команду и помогает нам продолжать работать на высоком уровне.

Если у вас возникнут вопросы или потребуется дополнительная консультация, пожалуйста, не стесняйтесь обращаться к нам. Мы всегда рады вам!
С уважением, администратор Клиники.",4,1
Saltu sha,2024-10-21,"Гинеколог Алия Жакашбаева прекрасная докторша, посоветовала, успокоила плохие мысли и назначила лечение. Только к ней. А еще приятная женщина💘💘спасибоо большое",2024-10-21,"Уважаемая Saltu sha,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень рады, ч…",5,1
Anushka Sirsulwar,2024-10-21,Doctor was good,2024-10-21,"Dear Anushka Sirsulwar,

Thank you for your kind words and high appreciation of our work! We are very glad that your visit to our clinic left you with a positive impression. Your feedback inspires our team and helps us continue to perform at a high level.

If you have any questions or require further advice, please do not hesitate to contact us. We are always glad to see you!
Sincerely, Clinic Administrator.",5,1
Nauka Narimbet,2024-10-21,Санитарлар тазалыққа жақсы қарайды екен өте керемет,2024-10-21,"Құрметті Nauka Narimbet,

Жылы лебіздеріңіз бен жұмысымызды жоғары бағалағандарыңызға рахмет! Бізд…",5,1
Тұрсынкүл Құрбанбекова,2024-10-20,"Мен тісім аурып, тіс емдейтін емхана іздеп ""ЭМИРМЕНТ"" кленикасына жолықтым.
Сол жерде врач стоматолк имплантолок, Исабаева Эльмираға кездестім.
Өте кішіпейіл, ақ көңіл ақ қалатты абзал жан екен.
Бірден жағдай сұрап, не істеу керек екенін, жақсылап түсіндіріп айтып жатты.
Барлық тісті емдеу керек екен.
Сонымен ем алуға келістім.
Мен қаншама тістерімді емдетіп жүргенде байқағаным, өте мұқият, өте сабырлықпен әр күні емдегенде екі, үш сағаттан уақыт жіберіп емдеді.
Талай жерге барып ем алып жүрмін ғой.
Бірақ мен мына Эльмира Ешмуханбетовнаға тәнті болдым.
Өте білгір, нағыз тіс маманы екеніне көзім жетті.
Әр бір ісене өте зер сала отырып,тиянақты жасайды екен.
Шіркін барлық жерде,ақ қалатты абзал жандар, өз ісіне осылай жауапкершілікпен қараса ғой деп ойландым.
Мен Эльмира қызыма алғысым шексіз!
Қолың ешқашан дерт көрмесін Элмира!
Әр қашанда еңбегің елеулі, болсын!
Ұжым ортасында беделің әр қашанда жоғары болсын!
Сонымен қатар Көмекші қыз Оразкүл медбикеге де риза болдым.
Еңбегі адал жандар екен!
Осындай жаны жайсаң асыл жандарға алғысым шексіз!
Құрбанбекова.
Тұрсынкүл.",2024-10-20,"Құрметті Тұрсынкүл Құрбанбекова,

Жылы лебіздеріңіз бен жұмысымызды жоғары бағалағандарыңызға рахмет…",5,1
Татьяна Изотова,2024-10-18,"Маммолог Исатаева Нуризат Абдинуровна, очень понравилась врач! Рекомендую! Всё очень грамотно и четко объяснила, всё оказалось нормально, Я зря переживала... 5 звёзд!",2024-10-18,"Уважаемая Татьяна Изотова,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень рады, что посещение нашей клиники оставило у вас положительные впечатления. Ваш отзыв вдохновляет нашу команду и помогает нам продолжать работать на высоком уровне.

Если у вас возникнут вопросы или потребуется дополнительная консультация, пожалуйста, не стесняйтесь обращаться к нам. Мы всегда рады вам!
С уважением, администратор Клиники.",5,1
露露 露,2024-10-17,"Байгулова Гульжахан врач отличная , и морально поддержат девочки, и по анализам хорошо все расскажут, советую 👍",2024-10-17,"Уважаемая 露露 露,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень рады, что по…",5,1
Yerdaulet Amangali,2024-10-16,"Мамандар өте жоғары деңгейде👍🏻
Окулист-Азиз Адилович қызметі өте қатты ұнады🙌🏻",2024-10-16,"Құрметті Yerdaulet Amangali,

Жылы лебіздеріңіз бен жұмысымызды жоғары бағалағандарыңызға рахмет! Б…",5,1
Айнур Суюнгараева,2024-10-16,"Врач гинеколог Алия Мухаметкалиевна, очень вежлива, грамотна, знающий свое дело специалист. Принимая лечение , которое она рекомендовала, получила хороший результат. Все обошлось без оперативного лечения благодаря профессионализму и опыту врача 🙌🏻
Желаю успехов и процветания в работе🤍",,,5,1
Захида Джолаева,2024-10-15,"Хочу написать слова благодарности врачу гинекологу Алие Мухаметкалиевне,врач с большой буквы,профессионал своего дела! Очень добра ,внимательна ,отзывчива!!! Благодарю вас за заботу!!!",2024-10-15,"Уважаемая Захида Джолаева,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень рады, что посещение нашей клиники оставило у вас положительные впечатления. Ваш отзыв вдохновляет нашу команду и помогает нам продолжать работать на высоком уровне.

Если у вас возникнут вопросы или потребуется дополнительная консультация, пожалуйста, не стесняйтесь обращаться к нам. Мы всегда рады вам!
С уважением, администратор Клиники.",5,1
Olessya Reznik,2024-10-15,"Очень повезло попасть к знающему окулисту.
Азиз Адилович-настоящий знаток своего дела.
Грамотно провёл осмотр и подобрал лечение.
Таких спецов, да побольше.",2024-10-15,"Уважаемая Olessya Reznik,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень ра…",5,1
